1 Ancient Tomb
1 Carpet of Flowers
1 Cavern of Souls
1 Chrome Mox
1 Deserted Temple
1 Dryad Arbor
1 Earthcraft
1 Gaea's Cradle
1 Gemstone Caverns
1 Mana Crypt
1 Misty Rainforest
1 Mouth of Ronom
1 Mox Diamond
1 Natural Order
1 Noxious Revival
1 Paradox Engine
1 Prismatic Vista
1 Root Maze
1 Selvala, Heart of the Wilds
14 Snow-Covered Forest
1 Song of the Dryads
1 Staff of Domination
1 Summoner's Pact
1 Survival of the Fittest
1 Sylvan Library
1 Thousand-Year Elixir
1 Verdant Catacombs
1 Windswept Heath
1 Wooded Foothills
1 Worldly Tutor
1 Yavimaya Hollow
